Name_ALMACAL,RA_ALMACAL,Dec_ALMACAL,Redshift,Spectrum,Provenance,Confidence,Name_IAU,RA_Optical,Dec_Optical,W1_mag,W2_mag,W3_mag,Separation
J2115+2933,318.8725561,29.56065749,1.514,TRUE,1993A&AS...97..483S,4,B2 2113+29,318.87256,29.56066,14.253,13.056,9.627,0.06
J0701-4634,105.393944,-46.57684049,0.822,TRUE,2002A&A...386...97J,2,PKS 0700-465,105.39395,-46.57684,13.376,12.185,8.711,0
J1656+1826,254.1420379,18.44065183,2.55204,TRUE,SDSS,4,WISEA J165634.11+182,254.14204,18.44065,16.362,15.536,12.096,0
J0113-3551,18.31606845,-35.86343539,1.22,FALSE,2008ApJS..175...97H,3,WISEA J011315.84-355,18.31603,-35.86345,13.746,12.624,9.722,0.12
J0606-0724,91.68144307,-7.4083976,1.227,FALSE,2008ApJS..175...97H,3,WISEA J060643.53-072,91.68144,-7.4084,15.09,13.874,10.776,0
J1454-3747,223.6142073,-37.79254024,0.314,TRUE,6dF:g1454274-374733,4,[HB89] 1451-375,223.61421,-37.79254,11.948,10.865,8.562,0.06
J1133+0015,173.2626251,0.2636057,1.17034,TRUE,SDSS,4,LBQS 1130+0032,173.26263,0.26361,14.886,13.514,10.457,0
J2139-4235,324.8507216,-42.58901911,,TRUE,This work,7,WISEA J213924.16-423,324.85067,-42.589,11.057,10.132,7.829,0.18
J0237+2848,39.468357,28.80249724,1.213,TRUE,1989QSO...M...0000H,2,[HB89] 0234+285,39.46836,28.8025,12.449,11.263,8.45,0.06
J1911-2006,287.7902204,-20.11530808,1.119,TRUE,2003AJ....125..572H,3,WISEA J191109.64-200,287.79018,-20.11523,13.158,12.461,7.204,0.06
J2336-4115,354.1416045,-41.25610665,1.406,TRUE,2002A&A...386...97J,4,PKS 2333-415,354.1416,-41.25611,14.437,13.272,10.095,0
J1312-7724,198.1614727,-77.40370064,1.362,TRUE,This work,4,PKS 1308-771,198.16321,-77.40353,15.26,14.043,10.946,1.5
J0222-3441,35.73500687,-34.6913139,1.49,TRUE,1997MNRAS.284...85D,4,PKS 0220-349,35.73501,-34.69131,14.922,13.73,10.752,0
J0438+2153,69.732854,21.88619643,,FALSE,,0,WISEA J043855.78+215,69.73267,21.88622,14.715,14.009,11.163,0.06
J2336-5236,354.0506023,-52.60609749,,FALSE,,0,PKS 2333-528,354.0506,-52.6061,16.104,15.473,,0
J1657-2004,254.3888947,-20.07638419,,FALSE,,0,WISEA J165733.31-200,254.38896,-20.07636,15.335,14.202,11.43,0.18
J0607-0834,91.99874682,-8.580549492,0.87,TRUE,1993A&AS...97..483S,3,WISEA J060759.62-083,91.9983,-8.5811,11.992,11.526,9.28,0.06
J1457-3539,224.3612988,-35.65276989,1.424,TRUE,2002A&A...386...97J,4,PKS 1454-354,224.3613,-35.65277,12.485,11.373,9.091,0.06
J1133+0040,173.3335658,0.6813437,1.64,TRUE,2004MNRAS.349.1397C,4,PKS 1130+009,173.33357,0.68134,15.286,14.405,11.261,0
J0956+2515,149.2078141,25.25445829,0.707708,TRUE,SDSS,4,FBQS J095649.8+25151,149.20781,25.25446,12.868,11.708,8.819,0
J2139+1423,324.7554553,14.39333117,2.427,FALSE,1974ApJ...190..271W,3,[HB89] 2136+141,324.75545,14.39333,14.172,13.269,9.907,0.06
J1315-5334,198.7674212,-53.5766318,,FALSE,,0,WISEA J131504.21-533,198.76767,-53.57667,13.584,12.528,9.784,0.48
J2337-0230,354.4889128,-2.516008128,1.067,TRUE,SDSS,4,[HB89] 2335-027,354.48891,-2.51601,12.78,11.633,8.552,0
J0438+3004,69.52061797,30.07931055,1.454,FALSE,2008ApJS..175...97H,3,WISEA J043804.95+300,69.52062,30.07931,14.762,13.746,10.816,0.06
J1658-0739,254.6835916,-7.654915044,3.742,FALSE,2008ApJS..175...97H,3,WISEA J165844.06-073,254.68359,-7.65475,14.029,13.498,10.046,0
J0702-1951,105.6787528,-19.85612096,,FALSE,,0,WISEA J070242.89-195,105.67875,-19.85612,12.614,11.529,8.738,0.06
J0115-0127,18.82124973,-1.451271422,1.365,TRUE,2002ApJS..140..143B,4,UM 310,18.82125,-1.45127,14.662,13.254,10.182,0
J1458+0416,224.7473175,4.270505675,0.391648,TRUE,SDSS,4,4C +04.49,224.74732,4.27051,13.706,12.791,9.955,0
J0607-6031,91.97952756,-60.53110894,1.097,TRUE,This work,4,PKS 0607-605,91.98,-60.53117,14.429,13.268,10.543,0.84
J1135-0428,173.9926457,-4.474412922,0.273,TRUE,2003yCat.7226....0C,2,WISEA J113558.23-042,173.99265,-4.47441,12.847,11.782,9.684,0
J0957-1350,149.3257628,-13.83366018,1.323,FALSE,2008ApJS..175...97H,3,WISEA J095718.17-135,149.32576,-13.83366,14.429,13.302,10.017,0.06
J2141-3729,325.4685375,-37.48694199,0.423,TRUE,6dF,4,PKS 2138-377,325.46854,-37.48694,13.543,12.486,9.655,0
J0239-0234,39.93946782,-2.578031808,1.114,TRUE,SDSS,4,[HB89] 0237-027,39.93947,-2.57803,13.48,12.318,8.983,0
J1316-3338,199.0332747,-33.64977017,1.21,FALSE,1982AJ.....87..763J,3,[HB89] 1313-333,199.03327,-33.64977,13.183,12.017,8.776,0.06
J2339-3310,354.9772301,-33.17135611,1.802,TRUE,2002A&A...386...97J,3,PKS 2337-334,354.97723,-33.17136,15.388,14.314,11.607,0
J0439-4522,69.75356111,-45.37293418,2.017,TRUE,2013ApJ...764..135S,2,PKS 0437-454,69.75356,-45.37293,14.146,13.004,9.759,0
J0608-2220,92.24869518,-22.33915463,1.926,FALSE,1979ApJ...229...73W,3,[HB89] 0606-223,92.24869,-22.33915,14.952,13.772,10.381,0
J1658+0741,254.5375478,7.690983458,0.625,TRUE,DESI,4,WISEA J165809.00+074,254.53754,7.69107,13.825,12.684,9.953,0
J1502-1508,225.6042394,-15.14792236,,FALSE,,0,WISEA J150224.89-150,225.60371,-15.14815,14.457,13.708,11.092,0
J0239+0416,39.96359604,4.272614392,0.975708,TRUE,SDSS,4,[HB89] 0237+040,39.9636,4.27261,13.563,12.345,9.675,0
J1922+1530,290.6445808,15.5027866,,FALSE,,0,WISEA J192234.71+153,290.64458,15.50279,12.861,11.584,8.889,0.06
J1136-0330,174.1024039,-3.5081935,1.648,TRUE,2002A&A...386...97J,4,4C -03.44,174.1024,-3.50819,15.129,14.251,12.007,0
J1000+0005,150.0736375,0.089916017,0.905516,TRUE,SDSS,4,[HB89] 0957+003,150.07366,0.08991,14.364,13.42,10.48,0.06
J1700-2610,255.2214753,-26.18103484,0.637,FALSE,2012A&A...544A..34P,3,PKS 1657-261,255.22147,-26.18103,11.889,10.925,7.951,0.06
J0703-0051,105.8295276,-0.850877258,,FALSE,,0,WISEA J070319.08-005,105.82953,-0.85088,12.018,11.049,8.287,0.06
J1504+1029,226.1040824,10.49422181,1.83786,TRUE,SDSS,4,[HB89] 1502+106,226.10408,10.49422,13.173,12.042,9.097,0
J0608-5456,92.20441443,-54.9452453,2.466,TRUE,This work,4,PKS 0607-549,92.20458,-54.94514,15.885,14.889,11.459,0.54
J1136-6827,174.0087391,-68.45161638,,FALSE,,0,WISEA J113601.78-682,174.00745,-68.45194,12.498,11.777,9.143,0.72
J0240-0504,40.23405323,-5.078389369,,TRUE,This work,7,PKS 0238-052,40.23405,-5.07839,14.018,12.991,10.02,0
J2146-1525,326.5957472,-15.42885711,0.698,FALSE,2008ApJS..175...97H,3,[HB89] 2143-156 NED0,326.59575,-15.42886,13.259,12.254,9.606,0
J2343-5626,355.8629087,-56.44002839,1.245,TRUE,This work,4,PKS 2340-567,355.86331,-56.44006,15.547,14.318,10.776,0.84
J1319-1217,199.8003003,-12.29225786,0.868,TRUE,6dF:g1319121-121732,3,WISEA J131912.07-121,199.80029,-12.29225,14.153,13.063,10.188,0
J1839-3453,279.8481849,-34.89693986,,FALSE,,0,WISEA J183923.56-345,279.84817,-34.89681,12.22,10.698,7.925,0.48
J1001+2911,150.2925235,29.1937601,0.556281,TRUE,SDSS,3,WISEA J100110.20+291,150.29252,29.19376,12.064,10.988,8.761,0
J2343+2339,355.8016126,23.66267995,1.33313,TRUE,SDSS,4,WISEA J234312.40+233,355.80161,23.66268,14.894,13.772,10.552,0.06
J0440-4333,70.07158322,-43.55239003,2.852,TRUE,2013A&A...556A.140Z,4,[HB89] 0438-436,70.07158,-43.55239,14.855,13.965,10.984,0
J0710-3850,107.6818183,-38.8436214,0.1306,TRUE,This work,4,WISEA J071043.63-385,107.68182,-38.84362,12.439,11.645,9.065,0
J0609-1542,92.42062308,-15.71129796,0.323,TRUE,6dF:g0609411-154242,2,[HB89] 0607-157,92.42062,-15.7113,13.083,12.045,9.028,0.06
J1505+0326,226.2769882,3.441892372,0.408269,TRUE,SDSS,4,[HB89] 1502+036,226.27699,3.44189,14.028,13.093,9.84,0
J1643-0402,250.8605069,-4.048263333,,FALSE,,0,WISEA J164326.51-040,250.86051,-4.04826,14.124,13.119,9.567,0.06
J1136-7415,174.0402492,-74.26257623,,FALSE,,0,PKS 1133-739,174.04025,-74.26258,13.871,12.939,10.115,0
J0241-0815,40.26999376,-8.255764414,0.00526,TRUE,6dF:g0241048-081521,4,NGC 1052,40.26999,-8.25576,8.502,8.306,5.764,0
J2146-7755,326.6252893,-77.93187111,0.334,FALSE,2008ApJS..175...97H,3,PKS 2141-781,326.62575,-77.93186,13.784,12.627,9.931,0.36
J1923-6320,290.8525252,-63.34604599,,FALSE,,0,WISEA J192324.47-632,290.85221,-63.34586,15.13,14.332,,0.84
J1002+1216,150.7201884,12.27071805,0.6038,FALSE,2008ApJS..175...97H,3,WISEA J100252.84+121,150.72019,12.27072,13.952,12.975,9.919,0
J2345-1555,356.3019263,-15.91884284,0.627,TRUE,6dF:g2345125-155508,2,WISEA J234512.44-155,356.30187,-15.9188,11.157,10.332,8.17,0
J1321-2636,200.3084871,-26.60290706,2.027,TRUE,1997MNRAS.284...85D,4,PKS 1318-263,200.30849,-26.60291,16.089,15.001,11.431,0
J0715-6829,108.789575,-68.49950875,,FALSE,,0,WISEA J071509.50-682,108.78933,-68.49972,12.827,11.918,9.385,0.84
J1507-1652,226.7699457,-16.87507417,0.876,FALSE,1978MNRAS.185..149H,3,[HB89] 1504-166,226.76995,-16.87507,14.089,13.112,9.949,0.06
